"locationid","time","ssp","pfl","dr","slr","migrcost","migration_submergence_cummulative_1p0","landloss_submergence_cummulative_1p0","migration_submergence_cummulative_10p0","landloss_submergence_cummulative_10p0","migration_submergence_cummulative_100p0","landloss_submergence_cummulative_100p0","landloss_change1_10","landloss_change10_100","landloss_change1_100","migration_change1_10","migration_change10_100","migration_change1_100"
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationcost 3.0",31300.5711,240585.9115,33927.85655,252548.7385,33434.4417,259596.668,-4.97237220808751,-2.79072053254386,-7.90185775279697,-8.39373007478447,1.45430598974869,-6.81735356579485
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationcost 3.0",22763.13825,126908.3425,24362.17585,134007.9265,20857.28368,138297.945,-5.59426107074088,-3.2013169758283,-8.97466807589896,-7.02467991205035,14.3866138705341,8.37254753307137
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","H++","Migrationcost 3.0",43655.1276,384219.59125,48317.90545,404825.4615,49946.483025,415341.3985,-5.36304517501617,-2.59764713440586,-8.10000529872773,-10.6809396887435,-3.37054671520328,-14.4114924657785
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationcost 3.0",22795.437265,123675.483,21740.26548,128953.54535,18490.28789,132814.7983,-4.26767069913122,-2.99429762828153,-7.3897550899397,4.62887275525137,14.9491163895391,18.8860135690843
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationcost 3.0",18741.991425,62058.1595,17739.81065,64450.11695,12996.27346,67032.4588,-3.85438026082614,-4.00672950214094,-8.0155443540023,5.34724807131855,26.7395029382684,30.6569234544402
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationcost 3.0",30755.2522,240246.439,32341.3258,251581.4195,31349.008425,257540.147,-4.718063896048,-2.36850857739914,-7.1983202215122,-5.15708208043893,3.06826436595867,-1.93058480268291
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationcost 3.0",23672.51295,127229.76295,22978.22245,133039.26735,19272.612165,136807.817,-4.56615202708747,-2.83265965384918,-7.52815522714137,2.9328973289251,16.1266185539953,18.5865387181043
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","H++","Migrationcost 3.0",53754.80125,384583.0435,66117.15595,409438.1075,65634.94535,413203.033,-6.46286008186941,-0.919534706475755,-7.44182302982892,-22.9976753936933,0.729327499151158,-22.1006195237304
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationcost 3.0",26035.039875,123459.08815,34772.04152,134759.671,33969.04103,136218.2567,-9.15330172880433,-1.08236068638072,-10.3347341546034,-33.5586259400726,2.30932799714429,-30.4743191986373
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationcost 3.0",20559.936325,61224.5385,29137.90314,68136.98,27288.645635,68944.56615,-11.2903121352234,-1.18523913152594,-12.6093684642474,-41.7217576912899,6.34657029407641,-32.7272867174116
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 8.5 hig","Migrationcost 3.0",37317.95775,240055.2035,47946.6271,256107.691,48315.79495,261161.856,-6.68699835119383,-1.9734530346455,-8.79241615772765,-28.4813799865562,-0.769955828655162,-29.4706298604993
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 8.5 low","Migrationcost 3.0",26410.57085,126970.76145,36186.968005,138719.85935,34973.72176,140219.0175,-9.25338854853344,-1.08070910468377,-10.434099865753,-37.0169853977238,3.35271594136421,-32.4231950859177
