"locationid","locationname","time","coastlength","gdp","gdpc","length_protected","protlevel_implemented"
"FRO","Faroe Islands",2010,425.420246124268,2995.74148,58848.446,190.46900177002,50.0000054
"FSM","Micronesia, Federal State of",2010,328.261573545635,382.10715,3211.46468,23.0579102039337,24.9999838
"GAB","Gabon",2010,1452.16964912415,13067.008,8679.656,25.3380374908447,19.999994
"GBR","United Kingdom",2010,8845.07797144353,3087694,49753.07,5949.40295563638,87.078815
"GEO","Georgia",2010,295.975223302841,57197.2136,14072.6884,295.975223302841,60.3948682
"GGY","Guernsey",2010,35.0493202209473,3352.7769,49753.07,35.0493202209473,50.0000048
"GHA","Ghana",2010,711.92727637291,58246.957,2387.9739,99.6124234199524,24.0175416
"GIB","Gibraltar",2010,13.0737152099609,1623.1697,49753.07,13.0737152099609,200.00001
"GIN","Guinea",2010,543.09964796342,6017.5372,602.8803,35.8836215734482,10.0000032
"GLP","Guadeloupe",2010,276.338901519775,19391.271,48915.82,46.9828987121582,200.000034
"GMB","Gambia",2010,437.934430599213,1193.9755,690.7941,25.9516903162003,10.0000006
"GNB","Guinea-Bissau",2010,1211.66697978973,824.150488,543.915192,0,0
"GNQ","Equatorial Guinea",2010,420.648834228516,115870.722,165438.46,321.336036682129,82.5163358
"GRC","Greece",2010,6798.99068504572,437061.956,38610.41,6634.18769007921,71.8683108
"GRD","Grenada",2010,116.542236328125,626.319146,5845.80286,0,0
"GRL","Greenland",2010,39562.1852191705,2892.40272,50226.2518,44.2424914240837,74.986105
"GTM","Guatemala",2010,378.910494804382,47971.08,3333.9558,0,0
"GUF","French Guiana",2010,477.777841567993,4383.0444,48915.82,54.8070793151855,50.0000132
"GUM","Guam",2010,123.179756164551,6723.379,36266.22,123.179756164551,200.000142
"GUY","Guyana",2010,655.11856174469,4030.95966,5342.72776,274.787250518799,20.000001
"HKG","Hong Kong, China SAR",2010,233.333566784859,360215.84,50974.227,233.333566784859,310.17947
"HMD","Heard Island and McDonald Islands",2010,96.2062683105469,0,70929.58,0,0
"HND","Honduras",2010,1112.46829891205,22269.168,2930.0535,13.0838832855225,24.9999988
"HRV","Croatia",2010,1848.29724121094,100164.984,22748.02,1848.29724121094,67.138247
"HTI","Haiti",2010,1253.56802427769,7570.9937,757.627,525.238237500191,9.9999969
"HUN","Hungary",2010,0,204800.92,20518.404,0,0
"IDN","Indonesia",2010,44164.7593830712,1347254.6,5616.534,14111.35774194,39.9135312
"IMN","Isle of Man",2010,110.569801330566,7801.633,87874.58,110.569801330566,50.0000094
"IND","India",2010,8617.49054268003,3669053.2,2996.1226,3706.46464496553,26.4960522
"IOT","British Indian Ocean Territory",2010,94.2899322509766,159.65604,49753.07,0,0
"IRL","Ireland",2010,2445.20423069596,322505.75,72192.02,2130.50035357475,53.964366
