"ISO3166","Country","DIVA coastlength (km)","Always protect (%)","Possible protect (%)","Never protect (%)","Minimal submergence land loss","Minimal submergence migration","Minimal relative submergence migration","Maximal submergence land loss","Maximal submergence migration","Maximal relative submergence migration"
"HMD","Heard Island and McDonald Islands",96,0,0,100,1.5,0,0,7.1,0,0
"HND","Honduras",1112,0,0,100,4.9,687,0.0084,630,37597,0.45
"HRV","Croatia",1848,0,44.4,55.6,12,5711,0.13,280,98829,2.3
"HTI","Haiti",1254,0,0,100,0.22,78069,0.75,71,142797,1.3
"IDN","Indonesia",44165,3.35,7.1,89.55,730,786939,0.31,21000,4462428,1.8
"IMN","Isle of Man",111,0,0,100,0.87,4176,4.6,5.1,5653,6.1
"IND","India",8617,5.15,13.75,81.1,3800,3018368,0.23,21000,14519210,1.1
"IOT","British Indian Ocean Territory",94,0,0,100,0.78,0,0,5.8,0,0
"IRL","Ireland",2445,1,12.95,86.05,73,52619,1.1,420,168102,3.5
"IRN","Iran",2267,0,2.6,97.4,1100,73773,0.095,4800,354227,0.45
"IRQ","Iraq",67,100,0,0,0,0,0,0,0,0
"ISL","Iceland",3622,0.25,0.35,99.4,130,8962,2.6,560,22547,6.5
"ISR","Israel",196,24.3,43.9,31.8,0.86,174,0.002,8.5,10764,0.13
"ITA","Italy",4949,17.9,35.25,46.85,47,28763,0.047,840,410683,0.66
"JAM","Jamaica",577,0,1.7,98.3,19,14656,0.53,97,47066,1.7
"JEY","Jersey",48,0,100,0,0,0,0,2.4,10757,10
"JOR","Jordan",22,0,0,100,0.014,1254,0.019,0.079,2370,0.035
"JPN","Japan",12760,16,34.9,49.1,88,169856,0.13,2300,2296353,1.8
"KEN","Kenya",583,0,0,100,120,15813,0.035,660,107586,0.23
"KHM","Cambodia",447,0,0.85,99.15,30,15265,0.1,590,233320,1.6
"KIR","Kiribati",811,0,0,100,23,48948,56,200,55723,63
"KNA","Saint Kitts and Nevis",112,0,0,100,0.13,2942,6.2,1.9,4831,10
"KOR","Korea, Republic",2701,2.15,13.25,84.6,120,500640,1,1300,1298647,2.6
"KWT","Kuwait",365,47.3,21.4,31.3,38,3215,0.1,120,35723,1.1
"LBN","Lebanon",207,12.4,10.1,77.5,1.7,1475,0.034,13,10011,0.23
"LBR","Liberia",557,0,0.3,99.7,2.1,21487,0.45,180,352550,7.2
"LBY","Libya",1719,7.7,22.9,69.4,360,10278,0.15,3100,256336,3.7
"LCA","Saint Lucia",105,0,0,100,0,0,0,0.94,199,0.12
"LKA","Sri Lanka",1549,2.6,1.2,96.2,14,4643,0.022,380,164960,0.76
"LTU","Lithuania",196,19.4,54.4,26.2,0.4,769,0.024,340,41503,1.3
"LVA","Latvia",502,13.5,0,86.5,7.9,4615,0.21,180,29124,1.3
"MAC","Macau",5,100,0,0,0,0,0,0,0,0
"MAF","Saint Martin",66,0,100,0,0,0,0,9.3,17101,0.026
"MAR","Morocco",1712,3.6,25.55,70.85,27,98345,0.3,240,602886,1.8
"MCO","Monaco",5,100,0,0,0,0,0,0,0,0
"MDG","Madagascar",4967,0,0.05,99.95,210,70233,0.3,1900,523708,2.2
"MDV","Maldives",1124,5.1,37.2,57.7,1.2,5613,1.7,29,115675,34
"MEX","Mexico",12314,0,0.45,99.55,2300,194466,0.16,13000,914744,0.76
"MHL","Marshall Islands",740,0,13.3,86.7,4.2,6645,11,46,51131,87
"MLT","Malta",67,50,50,0,0,0,0,2.4,21379,5.3
"MMR","Myanmar",4588,0.2,0.9,98.9,650,427366,0.87,9300,3000595,6.1
"MNE","Montenegro",136,0,0,100,11,1300,0.21,60,5509,0.87
"MNP","Northern Mariana Islands",100,0,54.7,45.3,0.0051,507,0.81,1.3,8425,13
"MOZ","Mozambique",3042,0,1.1,98.9,860,151206,0.59,7100,1730001,6.6
"MRT","Mauritania",829,0,0,100,1100,101997,2.7,4600,664846,17
"MSR","Montserrat",41,0,0,100,0.14,316,6,0.68,521,9.7
"MTQ","Martinique",151,0,0,100,0,0,0,2.1,456,0.12
"MUS","Mauritius",215,0,79.6,20.4,0.13,3313,0.28,4.3,34038,2.9
"MYS","Malaysia",4566,1.6,5.8,92.6,100,79353,0.26,1900,1015516,3.3
"MYT","Mayotte",118,0,12.5,87.5,0.2,286,0.1,2.7,6631,2.3
"NAM","Namibia",1489,0,0,100,440,2959,0.12,1300,6464,0.26
"NCL","New Caledonia",1345,0,0,100,27,4517,1.7,240,14247,5.2
"NFK","Norfolk Island",27,0,0,100,0.021,752,29,0.51,786,29
"NGA","Nigeria",1567,3.5,14,82.5,150,105816,0.06,1300,2084756,1.2
"NIC","Nicaragua",1158,0,0,100,8.9,6549,0.11,830,28729,0.46
"NIU","Niue",59,0,0,100,0.056,62,4.5,0.5,66,4.8
"NLD","Netherlands",1449,100,0,0,5.8,5251,0.031,69,113573,0.67
"NOR","Norway",15807,2.05,7.15,90.8,330,23957,0.47,950,165870,3.2
"NRU","Nauru",19,0,0,100,0.08,4068,36,0.6,4316,37
"NZL","New Zealand",7666,0.7,2.25,97.05,62,15700,0.34,760,68194,1.5
"OMN","Oman",2040,1.4,12.7,85.9,130,12058,0.39,990,111956,3.7
"PAK","Pakistan",1166,0,2.1,97.9,1000,125161,0.067,4300,813056,0.43
"PAN","Panama",2265,0,2.1,97.9,69,12263,0.33,490,115502,3
"PCN","Pitcairn Islands",36,0,0,100,0.12,47,86,0.77,50,89
"PER","Peru",2394,0,14.35,85.65,180,37720,0.12,1200,236804,0.77
"PHL","Philippines",14353,0.65,1.8,97.55,190,563261,0.56,2500,2483645,2.4
"PLW","Palau",123,0,0,100,0.052,0,0,0.55,14,0.065
"PNG","Papua New Guinea",9364,0,0,100,93,9180,0.12,700,30031,0.4
"POL","Poland",639,15.9,50.8,33.3,19,11081,0.029,1100,224282,0.58
"PRI","Puerto Rico",544,5.6,11.1,83.3,0.66,1346,0.037,140,75019,2
"PRK","Korea, Democratic Peoples Republic",1516,2.4,21.45,76.15,56,133884,0.54,1100,857572,3.4
"PRT","Portugal",1672,13.2,17.15,69.65,34,21579,0.2,180,92156,0.86
"PSE","West Bank and Gaza",40,0,100,0,0,0,0,1.8,48335,1.1
"PYF","French Polynesia",5023,0,3.5,96.5,45,17583,6.2,380,33780,12
"QAT","Qatar",463,15.6,6.1,78.3,28,518,0.023,450,22323,1
"REU","Reunion",193,100,0,0,0,0,0,0,0,0
"ROU","Romania",362,34,0,66,870,8297,0.039,2800,27223,0.13
"RUS","Russian Federation",68263,0.4,0.7,98.9,14000,93248,0.066,57000,466434,0.33
"SAU","Saudi Arabia",3057,21.2,7.89999999999999,70.9,140,32652,0.11,1500,192194,0.62
"SDN","Sudan",811,0,0,100,61,5285,0.011,480,63058,0.13
"SEN","Senegal",1039,0.1,6.49999999999999,93.4,180,133216,0.96,2300,1637642,11
"SGP","Singapore",95,98.9,0,1.1,0.0018,29,0.00052,0.018,30,0.00052
"SGS","South Georgia and the South Sandwich Islands",517,0,0,100,3.1,0,0,24,0,0
"SHN","Saint Helena",45,0,0,100,2.1,15,0.34,9.8,111,2.5
"SJM","Svalbard and Jan Mayen",5305,0,0,100,320,53,1.7,1700,372,12
"SLB","Solomon Islands",3492,0,0,100,10,5167,0.87,78,16331,2.7
"SLE","Sierra Leone",685,0,0,100,44,12154,0.19,630,175894,2.7
"SLV","El Salvador",349,0,0,100,1.6,5049,0.081,22,11671,0.18
"SOM","Somalia",3054,0,0,100,65,179768,1.8,500,371476,3.5
"SPM","Saint Pierre and Miquelon",128,0,17.6,82.4,1.9,316,4.7,11,2503,37
"STP","Sao Tome and Principe",170,0,0,100,0.68,28202,15,2.8,29793,16
"SUR","Suriname",584,3.5,0,96.5,220,5474,1,1700,60704,11
"SVN","Slovenia",24,90.2,9.8,0,0,0,0,0.13,153,0.0073
"SWE","Sweden",4848,5.05,31.55,63.4,-630,3183,0.033,1400,151298,1.5
"SYC","Seychelles",150,0,44.9,55.1,1.6,0,0,24,12024,1.2
"SYR","Syria",159,0,0,100,0.69,755,0.0034,6.5,5412,0.024
"TCA","Turks and Caicos",299,0,0,100,1.3,760,2.3,110,2704,8.1
"TGO","Togo",50,0,47.5,52.5,11,11912,0.18,54,203347,3.1
"THA","Thailand",2901,4.5,2.55,92.95,150,139446,0.2,2700,809979,1.1
"TKL","Tokelau",12,0,100,0,0,0,0,1.2,1466,89
"TLS","East Timor",676,0,0,100,3.5,23117,1.9,41,30682,2.4
"TON","Tonga",252,0,1,99,1.8,1207,1.1,16,13126,12
"TTO","Trinidad and Tobago",482,0,30.9,69.1,0.097,9,0.00069,25,22987,1.7
"TUN","Tunisia",1212,3.4,7.19999999999999,89.4,230,138104,1.3,1200,505307,4.6
"TUR","Turkey",4954,10.3,13.7,76,96,49229,0.064,740,490072,0.63
"TUV","Tuvalu",47,0,0,100,0.41,4392,43,2.8,4915,47
"TWN","Taiwan",997,34.5,21.1,44.4,5.3,11241,0.047,99,168152,0.7
"TZA","Tanzania",1386,0,0,100,50,82138,0.16,400,450900,0.87
"UKR","Ukraine",2812,2.25,7.55,90.2,1200,41855,0.095,5700,330473,0.75
"UMI","United States Minor Outlying Islands",40,0,0,100,0.059,0,0,1.4,0,0
