"locationid","time","ssp","pfl","dr","slr","migrlevel","migration_submergence_cummulative_2p0","landloss_submergence_cummulative_2p0","migration_submergence_cummulative_3p0","landloss_submergence_cummulative_3p0","migration_submergence_cummulative_4p0","landloss_submergence_cummulative_4p0","landloss_change3_2","landloss_change3_4","migration_change3_2","migration_change3_4"
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","H++","Migrationlevel   1.0",51454.11315,392916.85,45652.9425,387526.5575,39568.4144,378629.08225,1.39094789651932,-2.29596529006919,12.707112252403,-13.3277895504764
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","H++","Migrationlevel  10.0",61353.88525,419541.796,52799.6112,409728.2695,45862.48495,402427.403,2.39513043900428,-1.78188010041616,16.2013959110366,-13.1385934334304
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationlevel   1.0",26789.31287,126202.1636,23382.74376,123952.76275,19509.6142,121729.9295,1.81472425470404,-1.79329060577958,14.5687313044395,-16.5640508220666
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationlevel  10.0",31088.97105,134698.1276,26089.56903,131407.0242,21101.36798,128762.7793,2.50451101836913,-2.01225536922251,19.1624553638708,-19.1195226117539
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationlevel   1.0",21102.145655,62727.07623,18508.28082,61673.3669,15595.70393,60489.6066,1.70853219625342,-1.91940274951975,14.0146178903719,-15.7366149688667
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationlevel  10.0",25611.801285,67742.6617,21622.77953,66191.76025,17958.72767,64692.10925,2.34304306781144,-2.26561583244797,18.4482376535613,-16.9453323746672
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationlevel   1.0",36188.9496,245035.9745,31627.1527,241638.568,29174.60215,239090.296,1.40598685388667,-1.05457999569009,14.4236724161388,-7.75457270296735
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationlevel  10.0",43768.65145,261956.232,36026.5694,254920.5545,30764.0894,250428.074,2.75994908052814,-1.76230610701892,21.4899230732749,-14.607219304095
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationlevel   1.0",26738.05948,129430.55215,23102.796445,127260.97225,19774.64923,124738.53615,1.70482738080763,-1.98209714683364,15.7351645444929,-14.4058197583275
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationlevel  10.0",32043.9742,138949.3365,27201.04345,135370.19005,22368.93587,132736.5465,2.64396943572142,-1.94551219070259,17.8042094557957,-17.7644199160308
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","H++","Migrationlevel   1.0",49410.4817,391224.2485,44743.00295,385079.1928,40430.91805,380825.0673,1.59579011665571,-1.10474042211091,10.4317512063638,-9.63745080950138
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","H++","Migrationlevel  10.0",60407.23915,417881.0765,49033.17805,405567.364,44327.39265,400074.99,3.0361694734392,-1.35424456885047,23.1966630602684,-9.59714541692857
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 hig","Migrationlevel   1.0",26046.31774,125530.0491,22896.895255,123784.21655,20278.25346,122500.6366,1.41038381035826,-1.03694960938863,13.7548014694798,-11.4366675736448
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 hig","Migrationlevel  10.0",28612.71662,133191.4344,22933.009,129793.27695,20474.383975,128143.96045,2.61813056103751,-1.27072567913927,24.7665172067041,-10.7209002752321
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 low","Migrationlevel   1.0",21578.20954,62695.95655,18330.575205,61646.6566,16305.819035,60952.4036,1.70211980320114,-1.12618110744388,17.7170345102654,-11.0457863288857
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 2.6 low","Migrationlevel  10.0",24426.18878,69489.1354,19136.31702,65147.48575,16372.5834,63954.70635,6.66433953669501,-1.83089091815028,27.6431026642764,-14.4423486353802
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationlevel   1.0",35234.7467,244485.459,31300.5711,240585.9115,28532.72085,238335.9165,1.62085446969326,-0.935214778775604,12.5690217837591,-8.84281069874792
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationlevel  10.0",41078.36265,259141.5535,33927.85655,252548.7385,30392.59505,249220.274,2.6105119507457,-1.31794936683083,21.0756199392148,-10.4199376544464
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationlevel   1.0",26481.85688,128983.1029,22763.13825,126908.3425,20866.04393,125916.0486,1.63484949777829,-0.781898085226355,16.3365814904718,-8.33406316459902
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationlevel  10.0",29530.712775,137068.96655,24362.17585,134007.9265,21336.07885,131860.10365,2.28422312765209,-1.60275806521042,21.2154158841276,-12.4212920004844
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","H++","Migrationlevel   1.0",50072.1041,393772.4645,43655.1276,384219.59125,40403.4877,379459.80975,2.48630560948784,-1.23881801146963,14.699250357935,-7.44847187206481
