locationid,locationname,time,attract0,buddism,christianity,civlib,corrupt,democracy,depart0,ecfreedom,gdpc,gini,govqual,hinduism,individ,islam,lati,lifeexp,literacy,longi,mascul,protlevel_ud,totalpop,seadike_unit_cost_rural,seadike_unit_cost_urban,stability,temp,tempmult,tourarr,tourtav
ABW,Aruba,1995,0.001501,0,1,1.8,0.9,8,89201,2.3,16441,33.2,7.5,0,46.3,0,12.3,78.5,100,-69.6,47.9,50,80.323,2.08,2.08,0.8,25,1.8,619000,842
AFG,Afghanistan,1995,0.000008,0,0,7,-0.9,2.6,122523,3.8,671,43.6,3.7,0,19.9,1,34.5,45.5,32.2,69.2,51.7,-999.999,22475.7,0,0,-0.9,12.6,12.3,4000,250
AGO,Angola,1995,0.000022,0,1,6,-0.9,3.3,60402,4.5,2713,42.1,4.3,0,22.2,0,-8.8,57.7,57.4,13.3,40,20,12105.1,3.47,3.47,-1.8,21.5,1.6,8000,1111
AIA,Anguilla,1995,0.036241,0,1,2,1.7,10,49062872,1.9,10597,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,58019,6.28,6.28,0.9,8.4,5.9,23538000,788
ALA,Aaland,1995,0.001212,0,1,1,2.1,10,6030774,2.2,26727,25.6,9.7,0,63,0,60.2,82.1,100,25,26,20,26,2.82,2.82,1.5,1.7,13.6,835000,924
ALB,Albania,1995,0.000058,0,0,5,-1,6,14060,3.7,4390,40.7,4.4,0,24.7,1,41.3,60.4,81.4,19.8,60.3,20,3141.1,2.6,2.6,-1,11.4,9.3,40000,1625
AND,Andorra,1995,0.002714,0,1,1,0.7,7.3,63968,2.4,22110,34.4,6.9,0,41.7,0,42.5,75.1,99.7,1.5,51,-999.999,65,0,0,0.6,7.6,8.8,1893030,662
ARE,United Arab Emirates,1995,0.003258,0,0,5,0,0,633422,2.2,83127,33.8,7.2,0,38,1,24.5,76.9,72.9,54.4,53,50,2348.54,4.33,4.33,0.8,27,7.3,1601000,243
ARG,Argentina,1995,0.017999,0,1,3,-0.3,7,4159559,2.1,11704,34.6,4.3,0,46,0,-34.7,74.4,96.3,-58.5,56,50,34855.2,11.05,11.05,0.5,14.8,6.6,4101000,937
ARM,Armenia,1995,0.000443,0,1,4,-0.8,4,144310,3.1,2082,40.5,4.5,0,25,0,40.2,60.7,98,44.5,33,-999.999,3223.17,5.63,5.63,-0.5,7.1,13.3,263258,417
ASM,American Samoa,1995,0.120544,0,1,1,1.4,10,59479344,1.8,41319,40.1,9.8,0,91,0,38.9,82.6,100,-77,62,20,55,4.98,4.98,1.1,8.5,12.4,43385000,1463
ATF,French Southern Territories,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,10,0.2,3.68,3.68,0.6,10.7,7.9,60033000,459
ATG,Antigua and Barbuda,1995,0.000937,0,1,3,0.3,6.1,22967,2.7,18250,36.5,5.9,0,34.6,0,17.1,69.5,84.6,-61.9,47.9,20,69,3.47,3.47,0.3,26,1.1,413707,1165
AUS,Australia,1995,0.020178,0,1,1,1.6,10,2951529,1.9,30970,33.7,9.4,0,90,0,-35.3,80.7,100,149.1,61,50,18072,4.98,4.98,1.2,21.6,6,3726000,2109
AUT,Austria,1995,0.024009,0,1,1,1.5,10,14860756,2.1,33459,23.1,9.4,0,55,0,48.2,83.3,100,16.4,79,-999.999,7948.28,0,0,1.4,6.3,9.1,17173000,786
AZE,Azerbaijan,1995,0.000256,0,0,4,-1,0,98234,4.2,2262,42.1,4.1,0,22.3,1,40.4,57.8,57.5,49.9,33,-999.999,7685,5.63,5.63,-0.4,11.9,12.5,149000,753
BDI,Burundi,1995,0.000087,0,1,6,-1.1,1.9,42181,4,485,45.2,3.4,0,27,0,-3.4,52.6,43,29.3,41,-999.999,6086.75,0,0,-1.1,19.7,0.8,33000,29
BEL,Belgium,1995,0.007577,0,1,2,0.7,10,6658809,2.1,32581,25,9.7,0,75,0,50.8,82.8,100,4.4,54,1000,10136.8,5.63,5.63,0.8,9.6,7.6,5560000,1054
BEN,Benin,1995,0.000317,0,0,3,-0.8,6,486258,2.9,1417,42.7,3.9,0,20,0,6.5,56.7,33.8,2.7,46,20,5651.14,3.68,3.68,-0.9,27.5,2.9,138000,196
BES,"Bonaire, Saba and Saint Eustatius",1995,0.001651,0,1,2.3,0.5,6.6,74048,2.6,8977,35.6,6.3,0,37.4,0,12.2,71.8,96.1,-69,47.9,50,179.8,2.08,2.08,0.4,25,1.8,681098,599
BFA,Burkina Faso,1995,0.000266,0,0,4,-0.4,0,72073,3.4,877,48.2,4.8,0,20,0,12.3,54.2,19.8,-2.3,46,-999.999,10692.1,0,0,-0.5,28.2,3.9,124000,202
BGD,Bangladesh,1995,0.000351,0,0,4,-0.3,6,972517,3.8,1012,28.3,2.7,0,20,1,23.7,55.9,38.1,90.4,55,20,117487,1.73,1.73,-0.4,25,2.8,156000,147
BGR,Bulgaria,1995,0.005091,0,1,3,-0.6,8,4129094,3.4,8344,30.8,5,0,30,0,42.7,64.2,97.9,23.3,40,50,8406.07,2.6,2.6,0.4,10.5,10.5,3466000,136
BHR,Bahrain,1995,0.004013,0,0,6,-0.2,0,509771,1.8,26749,34.2,7,0,38,1,26.2,75.7,85.3,50.6,53,50,559.069,4.33,4.33,-0.1,27.1,9.7,2043000,177
BHS,Bahamas,1995,0.003394,0,1,1,0.5,7.7,128114,2.2,32201,33.7,7.3,0,44.6,0,25.1,77.2,95.3,-77.3,47.9,50,279.774,3.68,3.68,0.4,24.8,3.1,1598000,842
BIH,Bosnia and Herzegovia,1995,0.000394,0,1,5,-0.4,3.8,102952,4.4,1996,41.2,4.3,0,23.8,0,43.9,59.4,61,18.4,60.3,20,3332.1,1.82,1.82,-1.2,9.8,9.6,278149,189
BLM,Saint Barthelemy,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,20,33.75,3.68,3.68,0.6,10.7,7.9,60033000,459
BLR,Belarus,1995,0.000228,0,1,6,-0.7,3,733488,4.1,5123,28.8,5.2,0,29.6,0,53.9,65.1,99.5,27.5,33,-999.999,10194,5.63,5.63,-0.4,6.2,11.5,161000,143
BLZ,Belize,1995,0.000322,0,1,1,0.2,5.7,23268,2.8,5906,37.2,5.6,0,32.5,0,17.2,67.7,91.6,-88.8,47.9,20,216.5,3.9,3.9,0.1,25.3,1.7,131000,588
BMU,Bermuda,1995,0.000747,0,1,1.7,1,8.2,117171,2.2,27860,32.8,7.8,0,48.2,0,32.3,79.8,100,-64.8,47.9,50,61,2.08,2.08,0.9,21.3,5.2,387000,1261
BOL,Bolivia,1995,0.001195,0,1,3,-0.4,9,302300,2.7,4086,42,2.3,0,25.7,0,-16.5,61.3,82.3,-68.2,52.4,-999.999,7470.92,0,0,-0.1,21.5,1.9,350000,511
BRA,Brazil,1995,0.006659,0,1,4,0.1,8,3046437,3.5,9414,60.1,6.4,0,38,0,-15.9,70.5,83.2,-47.7,49,50,161848,11.49,11.49,-0.3,24.9,0.8,1991000,1053
BRB,Barbados,1995,0.001048,0,1,1,0.5,6.9,154772,2.5,19019,35.1,6.5,0,39,0,13.1,73.1,94,-59.6,47.9,50,263.416,3.47,3.47,0.5,26,0.7,442000,1385
BRN,Brunei Darussalam,1995,0.001322,0,0,5,0,8.1,351512,2.2,62513,32.9,7.7,0,47.6,1,4.9,79.4,89.1,115,40.7,1000,289.614,3.68,3.68,1.3,26.9,0.7,498000,74
BTN,Bhutan,1995,0.000011,1,0,6,-1.1,0,21913,4.1,2676,45.1,3.4,0,17.9,0,27.5,52.8,47.6,89.7,51.7,-999.999,518.584,0,0,-1.1,7.4,6.5,5000,1000
BVT,Bouvetisland,1995,0.004077,0,1,1,1.7,10,3492858,2.3,46129,25.2,9.6,0,69,0,59.9,84.4,100,10.8,50,10,0,3.47,3.47,1.4,1.5,10.2,2880000,820
BWA,Botswana,1995,0.002188,0,0,2,0.5,9,487430,3,9012,37,7,0,33.3,0,-24.8,68.4,72.7,25.9,40,-999.999,1585.64,0,0,0.7,21.5,4.6,644000,252
CAF,Central African Republic,1995,0.000082,0,1,4,-0.8,6,20859,3.7,926,42.9,3.9,0,20,0,4.4,56.3,39.8,18.6,46,-999.999,3327.71,0,0,-0.8,24.9,2.1,35000,192
CAN,Canada,1995,0.033561,0,1,1,2.1,10,21330920,2,33889,31.5,9.7,0,80,0,45.4,80.4,100,-75.7,52,20,29354,4.77,4.77,1,-5.4,17.4,16932000,466
CCK,Cocos Islands,1995,0.020178,0,1,1,1.6,10,2951529,1.9,30970,33.7,9.4,0,90,0,-35.3,80.7,100,149.1,61,20,1,4.98,4.98,1.2,21.6,6,3726000,2109
CHE,Switzerland,1995,0.016078,0,1,1,2.1,10,12496251,1.9,39059,36.1,10,0,68,0,47,86.3,100,7.4,45,-999.999,7040.69,0,0,1.7,5.5,8.4,11500000,814
CHL,Chile,1995,0.006486,0,1,2,1,8,1253726,2,11151,56.5,6.3,0,23,0,-33.5,70.2,94.9,-70.7,28,20,14409.4,3.47,3.47,0.5,8.5,4.1,1540000,584
CHN,China,1995,0.046446,0,0,6,-0.3,0,5296114,3.4,2256,41.5,5.7,0,20,0,39.9,58.9,80.8,116.4,66,100,1204860,8.45,8.45,0.5,6.9,12.8,20034000,436
CIV,Cote de Ivoire,1995,0.000436,0,0,4,-0.1,0,4687,3.5,2138,36.9,6.7,0,20,0,6.8,60.2,40.4,-5.3,46,20,14677.2,3.68,3.68,-0.1,26.3,2,188000,473
CMR,Cameroon,1995,0.000237,0,0,6,-1.1,1,147516,3.4,2017,41.3,5.7,0,20,0,3.9,59.1,69.7,11.5,46,20,13940.3,4.55,4.55,-0.7,24.6,1.9,100000,360
COD,"Congo, Democratic Republic",1995,0.000092,0,0,6,-1.6,1.7,80796,4.7,436,45.7,3,0,20,0,-4.4,51.9,54.8,15.3,46,20,44067.4,4.55,4.55,-2.6,24,0.7,35000,143
COG,Congo,1995,0.000074,0,0,5,-0.6,6,40029,3.9,3876,40.4,3.7,0,20,0,-4.2,60.8,74.4,15.2,46,20,2732.71,9.32,9.32,-1.8,24.5,1.1,28000,378
COK,Cook Islands,1995,0.008453,0,1,1,2.1,10,1077970,1.7,25012,33,9.6,0,79,0,-41.3,79.2,100,174.8,8,50,14,2.6,2.6,1.4,10.5,4.9,1409000,1645
COL,Colombia,1995,0.003838,0,1,4,-0.5,7,1171707,2.9,8295,57.2,5.3,0,13,0,4.6,66,90.3,-74.1,64,20,36453.3,5.2,5.2,-1.3,24.5,0.7,1399000,470
COM,Comoros,1995,0.000068,0,0,4,-0.8,3,18123,3.7,1355,42.9,3.9,0,21,1,-11.7,56.4,56.7,43.3,42,20,494.486,4.12,4.12,-0.7,25.6,1.2,23000,913
CPV,Cape Verde,1995,0.000061,0,1,2,-0.3,4.5,25078,3.7,1977,39.7,4.7,0,20,0,14.9,62.4,69.8,-23.6,46,50,394.946,3.9,3.9,-0.3,23.3,2.4,28000,357
CRI,Costa Rica,1995,0.00207,0,1,2,0.6,10,319876,2.9,8817,47,5.5,0,15,0,10,67.1,94.8,-84.1,21,20,3468.92,3.68,3.68,0.9,24.8,1.3,785000,841
CUB,Cuba,1995,0.001633,0,1,7,0.3,0,67959,4.8,3096,41.2,4.3,0,23.8,0,23.1,59.4,96,-82.4,47.9,20,10900.8,2.6,2.6,0.2,25.2,2.2,738000,1317
CUW,Curacao,1995,0.001651,0,1,2.3,0.5,6.6,74048,2.6,8977,35.6,6.3,0,37.4,0,12.2,71.8,96.1,-69,47.9,50,145.2,2.08,2.08,0.4,25,1.8,681098,599
CXR,Christmas Island,1995,0.020178,0,1,1,1.6,10,2951529,1.9,30970,33.7,9.4,0,90,0,-35.3,80.7,100,149.1,61,10,2,4.98,4.98,1.2,21.6,6,3726000,2109
CYM,Cayman Islands,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,50,55.2,6.28,6.28,0.9,8.4,5.9,23538000,788
CYP,Cyprus,1995,0.003456,0,1,1,1.8,10,421814,2.6,18658,35.1,6.5,0,39.2,0,35,73.2,95.9,33,51.2,50,855.424,2.82,2.82,0.4,18.4,8.7,2100000,851
CZE,Czech Republic,1995,0.022484,0,1,2,0.4,10,5257448,2.2,19037,26.6,6.2,0,58,0,50.1,71.2,89.1,14.4,57,-999.999,10327.3,0,0,0.8,7.5,9.5,16500000,174
DEU,Germany,1995,0.024436,0,1,2,1.6,10,87421032,2.2,33927,28.1,9.6,0,67,0,52.5,83.4,100,13.4,66,100,81678.1,5.85,5.85,1.3,8.4,8.8,14847000,1203
DJI,Djibouti,1995,0.000047,0,0,6,-0.4,7,17067,3.4,2560,40.5,4.5,0,20,0,11.5,60.7,58.9,43.2,46,50,626.537,3.03,3.03,-0.4,28,4.4,21000,190
DMA,Dominica,1995,0.000139,0,1,1,0.2,5.9,15313,2.8,9330,36.9,5.7,0,33.4,0,15.3,68.4,81.9,-61.3,47.9,20,71,4.33,4.33,0.2,22.3,1.1,60000,567
DNK,Denmark,1995,0.002199,0,1,1,2.1,10,5805806,2.3,34226,24.7,9.7,0,74,0,55.7,84.6,100,12.6,16,100,5233.37,5.42,5.42,1.3,7.5,8.7,1614000,1729
DOM,Dominican Republic,1995,0.003992,0,1,3,-0.8,5,196847,2.9,5487,50.5,4.5,0,28.6,0,18.5,64.2,81.6,-70,47.9,20,7916.31,3.47,3.47,0.1,24.5,1.7,1776000,887
DZA,Algeria,1995,0.000801,0,0,5,-0.9,1,2120789,3.5,6864,35.3,4.4,0,38,1,36.8,64,61.5,3,53,50,28291.6,2.82,2.82,-2.4,22.5,9.9,520000,52
ECU,Ecuador,1995,0.001293,0,1,3,-0.8,9,317533,3.1,6792,46.6,5.4,0,8,0,-0.2,64.3,89.5,-78.5,63,20,11384.5,3.03,3.03,-0.5,21.8,0.6,440000,580
EGY,Egypt,1995,0.004981,0,0,5,-0.3,1,3143689,3.5,4275,32,4.3,0,38,1,30.1,61.5,51.2,31.3,53,20,62063.8,1.95,1.95,-0.1,22.1,7,2872000,935
ERI,Eritrea,1995,0.000669,0,0,5,-1.1,6,24148,4.1,857,44.9,3.4,0,18.2,0,15.3,53.1,48.3,39,42,20,3212.5,2.21,2.21,-1,25.5,2.8,315000,184
ESH,Western Sahara,1995,0.000093,0,0,6,-1.3,1.3,631,4.4,233,46.6,3.1,0,16.2,1,24,50.6,43.6,-16,53,20,178.007,2.86,2.86,-1.3,22.4,7.1,48607,277
ESP,Spain,1995,0.061242,0,1,2,1.2,10,14815059,2.4,25628,32.5,7.6,0,51,0,40.4,78.2,97.1,-3.7,5,100,39387,2.82,2.82,0.6,13.3,8.8,39324000,654
EST,Estonia,1995,0.00076,0,1,2,0.6,7,119514,2.2,9543,35.4,5.7,0,60,0,59.4,68.6,82.3,24.8,30,50,1436.63,5.63,5.63,0.8,5.1,11.4,530000,666
ETH,Ethiopia,1995,0.000233,0,0,5,-0.4,1.3,140605,3.5,592,40,4.4,0,16.2,0,9.1,50.6,33,38.7,42,-999.999,57042.2,3.68,3.68,0.1,22.2,1.3,102000,252
FIN,Finland,1995,0.001212,0,1,1,2.1,10,6030774,2.2,26727,25.6,9.7,0,63,0,60.2,82.1,100,25,26,20,5107.79,2.82,2.82,1.5,1.7,13.6,835000,924
FJI,Fiji,1995,0.001581,0,0,3,0.8,6,74989,3.3,4468,37.5,5.5,0,31.9,0,-18.1,67.2,91,178.4,34.5,20,775.651,4.12,4.12,0,24.4,1.7,318000,890
FLK,Falkland Islands,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,2.8,6.28,6.28,0.9,8.4,5.9,23538000,788
FRA,France,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,100,59433.5,3.68,3.68,0.6,10.7,7.9,60033000,459
FRO,Faroe Islands,1995,0.002199,0,1,1,2.1,10,5805806,2.3,34226,24.7,9.7,0,74,0,55.7,84.6,100,12.6,16,20,48,5.42,5.42,1.3,7.5,8.7,1614000,1729
FSM,"Micronesia, Federal State of",1995,0.000543,0,1,2,-0.7,3.2,5870,3.6,3021,42.3,4,0,21.9,0,6.6,57.4,56.7,158.2,34.5,20,107.233,2.08,2.08,-0.7,24.4,1.7,150331,365
GAB,Gabon,1995,0.000334,0,1,4,-1,0,90789,3.1,18129,36,5.4,0,20,0,0.5,70.8,88,9.4,46,20,1087.33,7.58,7.58,-0.6,25,1.2,135000,56
GBR,United Kingdom,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,200,58019,6.28,6.28,0.9,8.4,5.9,23538000,788
GEO,Georgia,1995,0.000296,0,1,4,-0.7,6,153454,3.7,2146,41.5,4.2,0,23.3,0,41.7,58.9,59.9,44.8,33,20,4734,5.63,5.63,-0.8,5.8,11.5,177847,387
GGY,Guernsey,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,200,63,6.28,6.28,0.9,8.4,5.9,23538000,788
GHA,Ghana,1995,0.000668,0,1,3,-0.3,1,200365,3.1,1188,32.7,3.7,0,20,0,5.6,56.6,65.1,-0.3,46,20,16996.9,5.63,5.63,-0.1,27.2,2.3,286000,815
GIB,Gibraltar,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,200,30.5,6.28,6.28,0.9,8.4,5.9,23538000,788
GIN,Guinea,1995,0.000226,0,0,5,-0.8,1,76667,3.1,969,40.3,4.4,0,20,1,9.5,58.3,58.6,-13.7,46,20,7565.24,7.37,7.37,-1,25.7,2.8,99000,378
GLP,Guadeloupe,1995,0.001461,0,0,2.5,0.3,6.3,107872,2.7,7557,36.2,6,0,35.4,0,16.2,70.1,86.3,-61.4,47.9,50,348.247,2.08,2.08,0.3,25.6,1.4,640000,569
GMB,Gambia,1995,0.000098,0,0,5,0,0,31924,3.7,1305,47.8,5.6,0,20,1,13.5,56.3,31,-16.7,46,20,1126.18,5.42,5.42,0.6,27.5,3,45000,511
GNB,Guinea-Bissau,1995,0.000089,0,0,5,-0.2,5,14941,4.3,1556,56.2,3.2,0,20,0,11.9,54.4,33.3,-15.7,46,20,1125.39,7.37,7.37,-1.2,26.7,2.4,40309,324
GNQ,Equatorial Guinea,1995,0.000224,0,1,7,-0.7,0,7770,4.1,2879,42.4,4,0,20,0,3.7,57.1,77.8,8.8,46,20,442.527,3.9,3.9,-0.7,24.5,1,94326,362
GRC,Greece,1995,0.015597,0,1,3,0.8,10,1898165,2.8,21478,33.9,5.5,0,35,0,38,76.4,96.3,23.7,57,50,10634.4,2.38,2.38,0.2,15.4,9,10130000,408
GRD,Grenada,1995,0.00026,0,0,2,0.2,5.8,28065,2.8,7820,37.1,5.7,0,33,0,12.1,68.1,81.2,-61.7,47.9,20,100.163,4.33,4.33,0.2,26.6,0.9,108000,500
GRL,Greenland,1995,0.002199,0,1,1,2.1,10,5805806,2.3,34226,24.7,9.7,0,74,0,55.7,84.6,100,12.6,16,10,54.3,5.42,5.42,1.3,7.5,8.7,1614000,1729
GTM,Guatemala,1995,0.001445,0,1,4,-0.8,4,407754,3.1,4465,59.6,2.8,0,6,0,14.6,64,65.1,-90.4,37,20,10015.7,5.42,5.42,-0.8,23.4,1.8,563000,492
GUF,French Guiana,1995,0.000901,0,1,2.7,0.1,5.6,7587,2.9,6917,37.4,5.5,0,32.1,0,4.9,67.4,79.3,-52.4,52.4,50,82.548,3.51,3.51,0.1,25.6,0.9,348879,520
GUM,Guam,1995,0.120544,0,1,1,1.4,10,59479344,1.8,41319,40.1,9.8,0,91,0,38.9,82.6,100,-77,62,20,150,4.98,4.98,1.1,8.5,12.4,43385000,1463
GUY,Guyana,1995,0.00027,0,0,2,0,6,12267,3.2,2677,40.2,4.4,0,24.6,0,6.8,60.2,97.9,-58.2,52.4,20,727.979,7.37,7.37,-0.2,26,0.8,106000,736
HKG,"Hong Kong, China SAR",1995,0.024911,0,0,1.6,1.3,8.5,3542069,1.3,34546,32.3,8,0,25,0,22.3,81.4,91.8,114.2,57,900,6156.1,3.77,3.77,0.9,22.7,5.9,10200000,942
HMD,Heard Island and McDonald Islands,1995,0.020178,0,1,1,1.6,10,2951529,1.9,30970,33.7,9.4,0,90,0,-35.3,80.7,100,149.1,61,20,0,4.98,4.98,1.2,21.6,6,3726000,2109
HND,Honduras,1995,0.000544,0,1,3,-0.9,6,175756,3.4,3384,53.7,3.4,0,24.3,0,14.1,59.9,71.7,-87.2,47.9,20,5575.1,5.85,5.85,-0.3,23.5,1.6,215000,303
HRV,Croatia,1995,0.001828,0,1,4,-0.5,0,441851,3.5,12109,36.3,6,0,35.2,0,45.8,69.9,97.7,16,60.3,20,4669,1.82,1.82,0.4,10.9,9.3,1324000,1017
HTI,Haiti,1995,0.000328,0,1,5,-0.5,7,104227,4,1345,42.9,2.6,0,21,0,18.6,56.3,44.8,-72.3,47.9,20,7877.57,3.47,3.47,-1.7,24.8,1.7,145000,386
HUN,Hungary,1995,0.029659,0,1,2,0.6,10,15329438,2.6,14263,27.6,7.3,0,80,0,47.5,70.4,99.2,19.1,88,-999.999,10329,0,0,1.2,9.8,10,20690000,128
IDN,Indonesia,1995,0.01255,0,0,4,-0.8,0,2087981,3.5,3308,36.5,3.7,0,14,1,-6.1,62,83.7,106.8,46,50,199400,2.17,2.17,-1.3,25.8,0.4,4324000,1209
IMN,Isle of Man,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,200,83,6.28,6.28,0.9,8.4,5.9,23538000,788
IND,India,1995,0.004586,0,0,3,-0.3,9,3580736,3.8,1712,29.7,5.8,1,48,0,28.6,56.5,53.3,77.2,56,20,964486,7.58,7.58,0,23.7,5.4,2124000,1228
IOT,British Indian Ocean Territory,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,3,6.28,6.28,0.9,8.4,5.9,23538000,788
IRL,Ireland,1995,0.006825,0,1,1,1.6,10,2343413,1.9,27190,35.9,8.3,0,70,0,53.3,79.8,100,-6.3,68,50,3608.84,6.28,6.28,1.4,9.3,5.3,4821000,558
IRN,"Iran, Islamic Republic",1995,0.000816,0,0,6,-0.8,0,1171707,4.6,8209,38.9,5,0,41,1,35.7,63.9,70.8,51.4,43,20,59757.1,3.9,3.9,0.1,17.2,11.5,452000,420
IRQ,Iraq,1995,0.000602,0,0,7,-1.3,0,234341,4.9,3020,40,4.6,0,38,1,33.3,61.8,50.6,44.4,53,50,20904.3,6.5,6.5,-2.2,21.4,11.8,340000,213
ISL,Iceland,1995,0.000299,0,1,1,1.8,10,194503,2.2,30183,32,8.3,0,52.2,0,64.2,82.5,100,-22,51,20,267.468,5.2,5.2,1.3,1.7,6.8,190000,974
ISR,Israel,1995,0.003836,0,0,2,1.3,9,2646885,2.8,25087,35.5,6.1,0,54,0,31.8,78.8,95,35.2,47,100,5545,2.6,2.6,-0.5,19.2,7.1,2212000,1338
ITA,Italy,1995,0.046161,0,1,2,0.8,10,18736760,2.3,30820,31.2,8.2,0,76,0,41.9,80.2,98.2,12.5,70,100,56844.3,3.68,3.68,1.2,13.4,8.5,31052000,925
JAM,Jamaica,1995,0.002659,0,1,2,-0.1,9,204482,2.5,8465,41.1,4.7,0,39,0,18,64.8,84.7,-76.8,68,50,2480,4.12,4.12,-0.3,24.9,1.5,1147000,932
JEY,Jersey,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,200,93.9,6.28,6.28,0.9,8.4,5.9,23538000,788
JOR,Jordan,1995,0.001844,0,0,4,0.1,2,1321685,2.9,4278,43.4,4.1,0,38,1,32,62.6,86.4,35.6,53,50,4195,2.82,2.82,-0.1,18.3,8.7,1074000,615
JPN,Japan,1995,0.005177,1,0,2,0.7,10,17924768,2.2,33664,31,9.4,0,46,0,35.7,85.9,100,139.8,95,200,125439,8.02,8.02,1.2,11.1,12.2,1731000,964
KAZ,Kazakhstan,1995,0.001283,0,0,5,-0.9,1,366070,3.2,5489,32.7,4.8,0,27.3,0,43.3,62.9,68.6,76.9,33,-999.999,15815.6,5.63,5.63,0.2,6.4,17.3,658978,447
KEN,Kenya,1995,0.001798,0,1,5,-0.7,0,345653,3.1,1604,44.5,5.6,0,27,0,-1.3,56.1,77.1,36.8,41,20,27425.7,8.23,8.23,-1.1,24.7,1.6,691000,499
KGZ,Kyrgyzstan,1995,0.000023,0,0,5,-0.8,6,49212,3.6,1503,35.3,4.4,0,24.5,1,42.7,60.1,62.5,74.8,33,-999.999,4560.3,5.63,5.63,0.3,1.6,13.3,12000,139
KHM,Cambodia,1995,0.00053,1,0,6,-0.9,3,36323,3,989,43.4,3.7,0,20.2,0,11.6,55.5,34.2,104.9,40.7,20,11169.2,7.41,7.41,-0.8,26.8,2.1,220000,455
KIR,Kiribati,1995,0.000017,0,1,1,-0.5,3.7,7275,3.5,2313,41.3,4.3,0,23.6,0,1.5,59.2,60.6,173,34.5,20,77,3.25,3.25,-0.5,28.2,0.3,4000,333
KNA,Saint Kitts and Nevis,1995,0.000526,0,1,2,0.2,5.9,11765,2.8,14924,36.9,5.7,0,33.3,0,17.3,68.4,81.9,-62.7,47.9,20,43,2.47,2.47,0.2,24.5,1.3,232000,823
KO-,Kosovo,1995,0.000142,0,1,5,-1,0,239944,3.3,7429,40.2,4.6,0,27,0,44.8,61.2,65,20.5,21,-999.999,2113,3.03,3.03,-1.4,9.9,10,100000,184
KOR,"Korea, Republic",1995,0.008966,0,0,2,0.2,7,4474748,2.4,19229,34.1,6.4,0,18,0,37.5,75.9,97,127,42,50,45093,24.49,24.49,0.2,11.5,12.9,3753000,1489
