locationid,locationname,time,attract0,buddism,christianity,civlib,corrupt,democracy,depart0,ecfreedom,gdpc,gini,govqual,hinduism,individ,islam,lati,lifeexp,literacy,longi,mascul,protlevel_ud,totalpop,seadike_unit_cost_rural,seadike_unit_cost_urban,stability,temp,tempmult,tourarr,tourtav
MRT,Mauritania,1995,0.000148,0,0,5,-0.7,0,23184,3.8,2188,38.9,4,0,22.2,1,18.2,57.7,39.4,-16,46,20,2292.05,8.88,8.88,-0.6,27.6,5.6,72265,370
MSR,Montserrat,1995,0.036241,0,1,2,1.7,10,49062872,1.9,5863,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,4.8,6.28,6.28,0.9,8.4,5.9,23538000,788
MTQ,Martinique,1995,0.001068,0,1,2.3,0.4,6.6,149587,2.6,9035,35.7,6.2,0,37.1,0,14.6,71.5,90,-61.1,47.9,50,337.024,2.21,2.21,0.4,25.4,1.1,457000,594
MUS,Mauritius,1995,0.001397,0,0,2,0.3,10,125373,2.9,9953,36.6,5.8,1,34.3,0,-20.2,69.2,82.4,57.5,42,20,1005.67,3.68,3.68,1.1,22.4,2.7,422000,1019
MWI,Malawi,1995,0.000574,0,0,3,-0.2,7,45907,3.7,764,45.4,4.5,0,17.6,0,-14,52.3,55.9,33.8,40,-999.999,9883.35,0,0,0,21.9,2.7,192000,47
MYS,Malaysia,1995,0.024982,0,0,5,0.6,4,24186368,2.7,11137,48.4,6.9,0,26,1,3.1,70.4,84.4,101.7,50,50,20720.8,4.98,4.98,0.6,25.4,0.6,7469000,523
MYT,Mayotte,1995,0.086056,0,1,2,1.3,9,21894512,2.5,30849,32.7,9.3,0,71,0,48.9,82.6,100,2.3,43,20,199.5,3.68,3.68,0.6,10.7,7.9,60033000,459
NAM,Namibia,1995,0.00132,0,1,3,0.4,8,42362,2.9,5291,37.9,5.3,0,30.8,0,-22.6,66.2,78.5,17.1,40,20,1651.35,8.23,8.23,0.7,19.9,4,399000,697
NCL,New Caledonia,1995,0.000412,0,0,2.1,0.6,7,69131,2.5,18749,34.9,6.6,0,40,0,-22.3,73.8,96,166.4,34.5,20,193,2.34,2.34,0.5,22.1,2.9,86000,1256
NER,Niger,1995,0.000036,0,0,5,-1.6,8,11717,3.8,754,50.5,5.8,0,20,1,13.5,53.8,13.5,2.1,46,-999.999,9178.57,0,0,-0.8,27.1,5.7,17000,882
NFK,Norfolk Island,1995,0.020178,0,1,1,1.6,10,2951529,1.9,30970,33.7,9.4,0,90,0,-35.3,80.7,100,149.1,61,20,2,4.98,4.98,1.2,21.6,6,3726000,2109
NGA,Nigeria,1995,0.001471,0,0,3,-1,0,58585,3.3,1733,45,3.1,0,20,0,9.1,55.3,56.4,7.5,46,20,110015,6.5,6.5,-1.1,26.8,3,665000,82
